ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
abbreviated,"מקוצר, מתמומצת",dam,סכר,motorcade,שיירת רכבים,accommodated,מאוחסן,lulled,"הורגע, נרגע",confines,גבולות,squander,בזבוז על פאר,dice,קוביות,latent,"חבוי, סמוי",precarious,"1.בלתי יציב, מקרי 2.מסוכן",supper,ארוחת הערב,interdependent,מצוי בתלות גומלין,,
inhibition,"עכבה, מעצור",indictment,"אישום, כתב אישום",impostor,"מתחזה, נוכל",outlet,שקע (חשמל),groggy,"מבולבל,  בעל מחשבה איטית מהרגיל (כתוצאה ממכה, מחלה וכדומה)",confinement,"מאסר, ריתוק",enterprise,"מפעל, יוזמה",disguise,"תחפושת, הסוואה",locomotion,ניידות,germ,חיידק,diversion,"הסחת דעת, פעולת הסחה",,,,
bombardment,הפגזה,coordinating,תיאם,credence,אמינות,ailment,"מחלה, חולי",enunciate,"לבטא, להשמיע (באופן ברור)",confiscate,להחרים,aptitude,1.כישרון 2.חריצות,dispute,"1.מחלוקת, ויכוח 2.לערער, להתנגד",long-awaited,שחיכו לו זמן רב,trapezoid,טרפז,thorough,"יסודי, מעמיק",morbidity,"חולי, תחלואה",,
bundle,"חבילה, צרור",Red flag,דגל אדום (בהשאלה סימן שמשהו רע הולך לקרות),dubious,"מפוקפק, לפקפק",equation,משוואה,guzzle,לשתות משהו הרבה ומהר,conform,"להסתגל, להתיישב",imitate,לחקות,disruptive,"משבש, מפריע",longevity,אריכות ימים,romp,להשתובב,band,להקה,outflow,זרימה (החוצה),,
inconceivable,לא מתקבל על הדעת,innately,"מיסודו, באופן מולד",springboard,"מקפצה, קרש קפיצה",oppressive,מעיק,sepulchral,"שקשור לקבר או למוות, קודר",confute,"להפריך, לסתור",conditioned,"הוכשרו, הותאמו",divinity,אלוהות,long-winded,מייגע ומעייף בשל אורכו,presumably,כנראה,contentious,מעורר מחלוקת,provision,אספקה,,
,,,,,,,,,,,,,,,,jest,"להתבדח, בדיחה",conclusively,"באופן משכנע, בהחלטיות",commensurate,תואם,belied,"1.הפריך, סתר 2.הסווה",,
flux,"זרם, שטף",pension,"פנסיה, גמלאות",Predictive,מנבא,clip,לקצץ,blindside,להפתיע (מישהו בדבר שלילי),congestion,"גודש, דחיסות, צפיפות",hurried,זורזו,dock,"רציף, מספנה",lubricate,"לסוך, לשמן",,,,,palliative,"מקל, משכך",,
reminiscent,מזכיר,annotation,"הסבר, פירוש",discourse,"שיח, שיחה",graze,לרעות,detest,"לתעב, לסלוד, לשנוא",congregate,"להתאסף, להתקהל",receptive,פתוח לרעיונות,doomsday,יום הדין,lure,"1.לפתות, למשוך 2.פיתיון, להניח פיתיון",scent,"1.ריח, ניחוח 2.בושם",wharf,מזח,,,,
discourse,שיח,imprecision,חוסר דיוק,reptilian,זוחל,flee,לנוס,nervy,"חצוף, בעל תעוזה",congregation,"קהל, קהילה",regal,מלכותי,downside,חיסרון,malice,"זדון, רשעות",crescent,"חרמש, חצי סהר",fallacy,רעיון מטעה,dunes,דיונות,,
vicissitudes,חלופות ותמורות,incorporates,"כלל, שילב, איגד",papacy,אַפִּיפיוֹרוּת,dwell,מתגורר,offervescent,"תוסס, מבעבע",conjunction,"איחוד,חיבור",erratic,בלתי סדיר,drill,"1.לקדוח, מקדוחת 2.תרגולת",malpractice,"הזנחה, התרשלות בתפקיד מקצועי, רשלנות",crane,מנוף,interpreter,"פרשן, מתורגמן",panes,"חלונות, שמשה",,
blatant,"קולני, בוטה",splotch,כתם,inquisition,אַינקווזיציה,evident,באופן ניכר,jaunty,"קליל ושופע ביטחון, עליז",conscientious,בעל מצפון,eloquent,"רהוט, אמן דיבור",drown,להטביע,manuscript,כתב יד,navale,"שקשור לחיל הים, לספינות",rely,לסמוך,castrated,"מסורס, מעוקר",,
paroxysmal,קשור להתקף פתע,recurrence,"חזרה, הישנות",feigning,מעמיד פנים,akward,מגושם,despondent,מדוכדך,consecutive,"המשכי, עוקבי",axles,"צירים, סרנים",dump,"מזבלה, זבל",marital,שקשור לנישואין,gunnery,"תותחנות, ארטילריה ",rout,"להביס, להנחיל תבוסה",impeded,"מעכב, לעכב",,
loom,"נול, מכונת אריגה",venue,"מקום מפגש, מקום התכנסות",loincloths,אזור חלציים,observant,חד הבחנה,patronize,להתנשא,contend,"להתווכח, לטעון",canal,תעלת מים,dynasty,שושלת,markedly,"במידה ניכרת, בצורה בולטת",tombstone,מצבה,stretch,"להימתח, למתוח",notarized,"לאשר, אישור נוטריוני",,
,,,,,,,,,,,,,,,,,,buggy,1.כרכרה 2.מלא בחרקים,oscillate,להתנדנד,subsiding,"לשכך, להיחלש",,
weave,"לארוג, לטוות",cabaret,מקום בידור במסעדה או בבית קפה,wary,זהיר,hue,גוון,miffed,"נעלב, מוטרד",contention,1.ויכוח 2.טענה (בויכוח),quarrel,מריבה,eject,"1.להוציא, לפלוט 2.לגרש",meddle,להתערב בענייני אחרים,,,,,,,,
fillings,"סתימות, מילוי (רפואת שיניים)",squatters,פולש,pen,"1.עט 2. דיר, מכלאה",charm,"קסם, חן",smother,לחנוק,content,להיות שבע רצון,inserted,"הוכנס, שובץ",enterprise,"1.יוזמה, פרוייקט 2.חברה, עסק",mash,"1.למעוך, לרסק 2.מחית",stall (noun),1.דוכן 2.מקום חניה 3.אצבעון,procure,"להשיג, לרכוש",insofar,במידה מסוימת,,
amiss,לא כשורה,bolt,"1. בריח 2. ברח, הבריח",facilitate,"הקל, סייע",convincingly,באופן משכנע,invective,קללות,contrive,"להמציא, לתכנן חבולות",inhabited,יושב (כמו תושב),expulsion,"גירוש, הרחקה, סילוק",matrimony,נישואין,stall(verb),"1.עיכב, השהה 2.התחמק",falsehood,שקר,entertained,מבודר (שבידרו אותו),,
hallucinations,הזיות,frosts,כפור,lever,"דוושה, מנוף",conveniently,בנוחות,vexed,להיות עצבני בגלל משהו,consent,"להסכים, הסכמה",spilled,1.שפך 2.גילה סוד,fabric,"1.בד, אריג 2.מבנה",mediate,"לתווך, לגשר",impenetrable,בלתי חדיר,heart-rending,"קורע לב, נוגע ללב",cabin,"תא, ביתן",,
 grating - Noun,סבכה שכבה שיוצרת חציצה ,buds ,ניצנים,collaborator,משתף פעולה,sinking,"שוקע, טובע",crestfallen,מדוכדך,console,"1.לנחם, להביע תנחומים 2.יחידת בקרה, קונסולה",realm,1.ממלכה 2.תחום,facility,1.מתקן 2.אמצעי 3.קלות 4.כישרון,mend,"לתקן, לשפר",implicitly,"1.מרומז, משתמע 2.מוחלט",noble,אצילי,absorption,"קליטה, ספיגה",,
grating - ADJ,"צורם, מעצבן",bipartisan,דו מפלגתי,Sanctioning,"סנקציות, איסורים",daring,"נועז, אמיץ",seclude,לבודד,consolation,"ניחום, תנחומים",lace,תחרה (סוג של בד),fallacy,"סברה מוטעית, טעות",mercenary,שכיר חרב,stomp,רקע (עם הרגל),provision,אספקה,convention,"אמנה, כנס, וועידה",,
parsnip,גזר לבן,retention,"שמירה, החזקה",adjudicator,"פוסק, מי שחורץ את הדין",winding,"מתעקל, מתפתל",civilize,"לתרבת, להפוך משהו לתרבותי",conspicuous,"בולט לעין, ניכר",longing,"כמיהה, געגוע",farewell,פרידה,merit,"1.סגולה 2.תכונה ראויה, להיות ראוי",dwindle,"הדלדל, התמעט",conscientious,"בעל מצפון, מסור",edicts,"גזירות, צו",,
,,,,,,,,,,,,,,,,lining,"בטנה, ריפוד",proceed,"1.התקדם, התמשך 2.נבע",immensely,"עצום, במידה רבה",orchard,"פרדס, מטע",,
maddening,מעצבן מאוד,pitfall,מלכודות,feline,חתול,peg,יתד,querulous,"נרגן, מתלונן סדרתי",consternation,"פחד, תדהמה",condoning,"סליחה, מחילה",felony,"עבירה, פשע, עוין",mingle,"לערבב, להסתובב בין אנשים",,,,,shunning,"מתנער, להימנע",,
hubbub,"מהומה, שאון",resembled,"דימה, נדמה",frail,"חלש, עדין",pleas,"תחינות, הפצרות",squander,לבזבז,constituent,1.מרכיב 2. בוחר,plotting,תכנון,firsthand,ממקור ראשון,misdeed,"מעשה לא טוב, פשע",correspond,1.התכתב 2.התאים,occasion,"מאורע, אירוע",linger,"להשתהות, להתעכב",,
voltage,מתח (חשמל),outperformed,עלה בביצועו על אחר,refrigerant,"מקרר, מקפיא",suggestive of,מזכיר את,repress,1.להדחיק 2.לדכא,constrain,"לאלץ, לחייב",replenish,לחדש מלאי,flake,1.פתית 2.להתפורר,misinterpret,לפרש שלא כהלכה,sanction,"1.סנקציה, עונש 2.עידוד, אישור",scorch,"לצרוב, לחרוך",fasten,"להדק, לחבר",,
evocation,תזכורת,amidst,"בקרב, בתוך",perimeter,היקף,affinity,"משיכה, זיקה",diction,"הגייה, סגנון לשוני",constraint,"אילוץ, כפייה",confer,להתייעץ,flare,1.הבזק 2.להבה 3.להתלקח,module,"מודול, רכיב",entertain,"בידר, השתעשע",demonstrate,"להפגין, להדגים",accomplice,שותף למסע,,
novena,תפילה רצופה של 9 ימים,restraint,"ריסון, איפוק",sewerage,ביוב,fortitude,"גבורה, אומץ לב",rip - into,לתקוף במילים קשות,converge,"להתכנס, להיפגש",paraphrase,"לצטט, לנסח מחדש",flaw,"1.פגם, ליקוי 2.משב רוח לא צפוי",mold,"1.תבנית, דגם 2.לעצב 3.עובש",immerse,"טבל, השקיע",instigate,"להסית, לעורר",pelvic,"אגני, אגן הירכיים",,
menace,"איים, סיכן",sanctuaries,1.מקדשים 2. מקלטים,exacerbation,החרפה,aptitude,"נטייה, כישרון",sychronize,לתאם מבחינת זמנים,convene,"להתכנס, לכנס",hospitality,הכנסת אורחים,flush,"1.לשטוף במים 2.להסמיק, סומק",monetary,"כספי, שקשור במדינויות כלכלית",palatable,"1.טעים, ערב לחך 2.מתקבל על הדעת",malignant,1.ממאיר(סרטני) 2.מרושע,auxiliary,"עזר, סיוע",,
miscellany,קובץ של פריטים שונים,amenities,שירותים המוענקים על ידי המקום,compliance,התאמה,disparity,"שונות, נבדלות",galvanize,"לדרבן, לעורר פעולה",cope,"להתגבר, להתמודד (בהצלחה)",pale,חיוור,fog,ערפל,mortgage,משכנתא,plump,1.שמנמן 2.נפוח,to come by,"1.להשיג, למצוא 2.לקפוץ לביקור",recourse,"פנייה, בקשה",,
,,,,,,,,,,,,,,,,,,scrawny,"כחוש, צנום",fertile,פורה,,,,
fragment,"קטע, שבר, חתיכה",eccentricities,"חריגות, מוזרות",lingering,"ממושך, מתמהמה",presumed,"הניח, שיער",aggravate,"להחמיר, להחריף",cordial,"ידידותי, לבבי",readily,1.מיד 2.רצון,folk,"עם, עממי",mutiny,מרד,wrought,"מחושל, מעובד",,,,,,
causation,סיבתיות,rigorous,"מחמיר, קשוח",outreach,השיג מעבר,mounted,"העפיל, טיפס",rueful,מביע חרטה או צער ,corollary,"מסקנה, הסקה",thoughtlessly,ללא מחשבה,franchise,1.זיכיון 2.זכות הצבעה,obliterate,"להכחיד, להשמיד",spoil,"1.קלקל, השחית 2.התקלקל 3.לפנק 4.בזז",Futile,"חסר תועלת, עקר",reassuring,מרגיע,,
mishap,"תאונה, תקלה",allocate,"הקציב, ייעד",frantically,"בטירוף, באופן תזיזתי",reaped,לקצור,larceny,גניבה,corrosion,"קורוזיה, איכול",extension,הרחבה,gown,1.שמלה 2.גלימה,obsolete,מיושן,surveyor,מודד,bodily states,מצב גופני,rigorous,קפדני,,
wistfulness,עצבות,attribute,"תכונה, תואר",incubation,"דגירה, הדרגה",occasionally,לעיתים,intercede,"להתערב, לפשר",counteract,לפעול כנגד,repercussion,"השלכה, תוצאה של משהו",greet,לברך לשלום,obstinate,"עקשן, קשה לשכנוע",pang,"כאב עז, כאב חד",perception,"תפיסה, השקפה",confrontation,"חיכוך, יריבות",,
segments,"מקטעים, חלקים",bend,לכופף,canine,"כלב, כלבי",resolved,החליט,doting,מישהו שמרעיף אהבה ותשומת לב,counterfeit,"לזייף, מזויף",reservation,1.הסתייגות 2.שמירת מקום,gymnastics,התעמלות,,,tractor,טרקטור,cognitive,"הכרתי, שקשור לתהליכי החשיבה",congestion,"גודש, עומס יתר",,
serenity,"שלווה, רוגע",by no means,בשום פנים ואופן,recoup,"החזיר, פיצה",linked,קושר,pique,"1. לעורר (עניין או סקרנות) 2.לעצבן, להרגיז",cradle,"להשכיב בעריסה, עריסה",coalition,"בריתות, קואלציות",illuminate,"להאיר, להבהיר",omission,השמטה,variable,משתנה,warmth,"חום, לבביות",illuminated,"1.מואר 2.הבהרה, הסבר",,
moor,אדמה בוצית,capital,הון,revamp,"שיפץ, שיקם, חידש",cling,"להיצמד, לדבוק",nail - biting,מותח (מביא לידי כסיסת אצבעות),crawl,לזחול,valiant,אמיץ,implication,"1.השלכה, תוצאה של אירוע או פעולה 2.רמיזה",omit,להשמיט,,,devoid,"נטול, משולל מ",output,"תפוקה, תוצר",,
,,,,,,,,,,,,,,,,ode,פואמה,conserve,1.שימר 2.חסך,proclaim,"להכריז, להצהיר",prognosis,"תחזית (סיכוי החלמה- רפואי, סיכוי הצלחה- עסקי)",,
briefed,"מדריך, להדריך",civil,"1.אדיב, מנומס 2.אזרח",fray,"מריבה, ריב",resort,1. להזדקק 2. אתר נופש,repugnance,סלידה,credible,"אמין, מהימן",hive,כוורת,inaccurate,לא מדויק,opt,"לבחור, להעדיף",,,,,,,,
prosecutors,"תובע, קטגור",comprehension,הבנה,burials,קבורה,grin,"לגחך, לחייך",reverent,להתייחס אל משהו ביראת כבוד,creed,"אמונה, תורה להתנהל על פיה",,,inactive,1.לא פעיל 2.עצל,orbit,1.להסתובב 2.מסלול,caldera,לוע (של הר געש),inexplicable,"בלתי מוסבר, לא מובן",acquittals,זיכויים (במשפט),,
abolish,"ביטל, לבטל ",conclusively,"סופית, החלטי",suspension,"עיכוב, שהיה",inscriptions,"כתובות, חקיקות",estrange,"להרחיק, לגרום לניכור ",creep,1.להתגנב 2. לטפס 3. לזחול,trench,תעלת מגן ,initial,"ראשוני, התחלתי",ordeal,1.חוויה קשה 2.מבחן,assort,מיין,impecunious,"חסר כל, עני",pitifully,"מעורר רחמים, עלוב",,
delved,"חקר, התעמק",deduce,להסיק,swath,"רצועה, חבילה",sought,חיפשו,irascible,חם מזג,crooked,"מעוקם, עקום",brisk,"1מהיר, זריז 2.מרענן",inspect,"1.לבדוק, לבחון 2.לפקח",,,assorted,מגוון,firm ground,בסיס יציב,wholesale,"1.נרחב, מקיף 2.בסיטונאות",,
felony,"פשע, עבירה",depart,לעזוב,cusp,"חוד, חרמש",swept,סחפו,gibber,"למלמל, דיבור מהיר ולא מובן",crop,1.לקצץ 2.יבול,drudgery,עבודה קשה ושחורה,intermediate,"1.בינוני, אמצעי 2.לגשר",outlive,להתקיים יותר זמן ממישהו\משהו אחר,variant,משתנה,concern,1.דאגה 2.עניין,foment,"1.המריץ, עודד 2.חרחר ריב",,
